idx,node_id,lon,lat,SUMO_EDGE_ID,SNAP_DISTANCE_M,OUTBOUND_REACHABLE,RETURN_REACHABLE,ROUND_TRIP_FEASIBLE
66.0,3809238046.0,127.0023514,37.5924328,377543964#2,5.912281958641567,True,True,True
67.0,298310629.0,127.0009998,37.5932361,-913601420,3.4150482959445907,True,True,True
68.0,307937275.0,127.0037702,37.5997164,-183521057#3,7.081308427629843,True,True,True
69.0,5209314071.0,127.00175,37.60796,37402584#9,3.4515956067300033,True,True,True
70.0,4166632838.0,127.0035253,37.6079067,-380843952#0,7.268181805479698,True,True,True
71.0,4168324392.0,127.0040285,37.5904359,-377543937#1,6.534193269390321,True,True,True
72.0,4166632835.0,127.0028367,37.6101288,-415669359#1,6.070156275092384,True,True,True
73.0,3809237942.0,127.0037699,37.5889472,-415895475#2,13.712714782282488,True,True,True
74.0,3841490810.0,127.003372,37.6159949,380844009#0,5.957077747334245,True,True,True
75.0,3841490908.0,127.0011331,37.6175656,-824655022#0,6.702676263311329,True,True,True
76.0,3841491313.0,127.0076787,37.6238682,824655026#2,6.404848476751967,True,True,True
77.0,3843314108.0,126.9958422,37.5938947,518702965#0,6.413382311965437,True,True,True
78.0,2724792086.0,126.9955914,37.6012174,-518702431#3,6.669925947311814,True,True,True
79.0,436844851.0,126.99232,37.59967,518702432,6.333822112513374,True,True,True
80.0,5937708490.0,126.9942181,37.6108961,628897988,2.275091512243335,True,True,True
81.0,3841701785.0,126.9948606,37.6092603,380869713#1,7.336006833696257,True,True,True
82.0,3844428601.0,126.9877392,37.5977473,415860912#3,7.218938785729281,True,True,True
83.0,3844428522.0,126.9862722,37.5963357,-261995707#3,7.349281899471045,True,True,True
