traffic_seed,method,policy,final_epoch,cumulative_energy_kwh,cumulative_operating_s,cumulative_planning_runtime_s,latency_adjusted_energy_kwh,latency_adjusted_time_s,min_battery_kwh,returned_to_depot,initial_planning_runtime_s,initial_compute_wait_aux_energy_kwh,total_reassigned_bins,total_next_choice_changes,replan_attempts,accepted_replans,disrupted_edges_traversed,traversed_edges,replanning_runtime_s,post_departure_latency_adjusted_time_s,post_departure_latency_adjusted_energy_kwh,disrupted_edge_share,adaptive_vs_static_live_gain_pct,adaptive_vs_static_frozen_gain_pct,adaptive_energy_gain_pct
2027,pso,adaptive,47,184.12867312017156,3348.959842509302,1992.607143200119,184.12867312017156,3348.959842509302,137.5858157975962,True,21.334564200020395,0.0,60,13,9,4,219,1890,1971.2725790000984,3348.959842509302,184.12867312017156,0.1158730158730158,10.930858523947688,21.49084149179844,10.930858523947688
2027,pso,static_frozen,44,234.53145673563205,3023.101891659613,21.334564200020395,234.53145673563205,3023.101891659613,134.46696885328123,True,21.334564200020395,0.0,0,0,0,0,365,1871,0.0,3023.101891659613,234.53145673563205,0.1950828433992517,0.0,0.0,0.0
2027,pso,static_live,49,206.7255505877729,3335.5122022226383,21.334564200020395,206.7255505877729,3335.5122022226383,135.47471374597842,True,21.334564200020395,0.0,0,0,0,0,242,2042,0.0,3335.5122022226383,206.7255505877729,0.118511263467189,0.0,0.0,0.0
2028,aco,adaptive,48,164.85487433911976,3410.4975616848183,662.714315499994,164.85487433911976,3410.4975616848183,147.8769185951198,True,31.84011709992774,0.0,12,7,9,3,133,1728,630.8741984000662,3410.4975616848183,164.85487433911976,0.0769675925925925,-3.402181044649252,6.134858332860002,-3.402181044649252
2028,aco,static_frozen,47,175.6294950512301,3189.997749366643,31.84011709992774,175.6294950512301,3189.997749366643,133.80051712491542,True,31.84011709992774,0.0,0,0,0,0,237,1517,0.0,3189.997749366643,175.6294950512301,0.1562294001318391,0.0,0.0,0.0
2028,aco,static_live,48,159.43075153118397,3296.9132818813114,31.84011709992774,159.43075153118397,3296.9132818813114,143.2906219837696,True,31.84011709992774,0.0,0,0,0,0,156,1532,0.0,3296.9132818813114,159.43075153118397,0.1018276762402088,0.0,0.0,0.0
2028,ga,adaptive,43,200.43037579860436,3107.9435219263446,2389.900906299823,200.43037579860436,3107.9435219263446,137.77424067649346,True,25.74775079998653,0.0,3,5,8,1,156,1932,2364.1531554998364,3107.9435219263446,200.43037579860436,0.0807453416149068,0.6513331243424743,11.8476664430278,0.6513331243424743
2028,ga,static_frozen,45,227.36820196491755,3232.6433929008977,25.74775079998653,227.36820196491755,3232.6433929008977,129.4300565260381,True,25.74775079998653,0.0,0,0,0,0,273,1897,0.0,3232.6433929008977,227.36820196491755,0.1439114391143911,0.0,0.0,0.0
2028,ga,static_live,48,201.744403927894,3373.39903162775,25.74775079998653,201.744403927894,3373.39903162775,136.66659154010603,True,25.74775079998653,0.0,0,0,0,0,185,1972,0.0,3373.39903162775,201.744403927894,0.0938133874239351,0.0,0.0,0.0
2028,nn,adaptive,43,192.31243738111613,3111.067344234852,65.38877419976052,192.31243738111613,3111.067344234852,138.65445799232802,True,10.21008449990768,0.0,26,3,8,2,156,2116,55.17868969985284,3111.067344234852,192.31243738111613,0.0737240075614366,18.190037944437403,28.49260173575705,18.190037944437403
2028,nn,static_frozen,43,268.9406160051573,3132.7725407599582,10.21008449990768,268.9406160051573,3132.7725407599582,128.1313505378546,True,10.21008449990768,0.0,0,0,0,0,514,2178,0.0,3132.7725407599582,268.9406160051573,0.2359963269054178,0.0,0.0,0.0
2028,nn,static_live,44,235.0721508103181,3186.2527011144425,10.21008449990768,235.0721508103181,3186.2527011144425,136.5817341622013,True,10.21008449990768,0.0,0,0,0,0,224,2258,0.0,3186.2527011144425,235.0721508103181,0.0992028343666961,0.0,0.0,0.0
2028,proposed,adaptive,52,166.5832349116583,3225.5720986417427,1751.9107226999477,166.5832349116583,3225.5720986417427,137.87078964969865,True,1139.5955789000727,0.0,1,2,10,1,151,1531,612.3151437998749,3225.5720986417427,166.5832349116583,0.0986283474853037,8.869251591636492e-05,7.145230081694084,8.869251591636492e-05
2028,proposed,static_frozen,48,179.40191447161956,3018.269726559396,1139.5955789000727,179.40191447161956,3018.269726559396,129.1827591368412,True,1139.5955789000727,0.0,0,0,0,0,199,1517,0.0,3018.269726559396,179.40191447161956,0.1311799604482531,0.0,0.0,0.0
2028,proposed,static_live,52,166.5833826586515,3225.5720986417427,1139.5955789000727,166.5833826586515,3225.5720986417427,137.87078964969865,True,1139.5955789000727,0.0,0,0,0,0,151,1531,0.0,3225.5720986417427,166.5833826586515,0.0986283474853037,0.0,0.0,0.0
2028,pso,adaptive,53,179.46060802158266,3641.423402986164,1869.200586400344,179.46060802158266,3641.423402986164,144.7994510181249,True,21.334564200020395,0.0,58,12,10,3,160,1717,1847.866022200324,3641.423402986164,179.46060802158266,0.093185789167152,19.22122008891936,29.634433824891243,19.22122008891936
2028,pso,static_frozen,44,255.0403809371541,3009.1667245915105,21.334564200020395,255.0403809371541,3009.1667245915105,135.18740448565984,True,21.334564200020395,0.0,0,0,0,0,414,1871,0.0,3009.1667245915105,255.0403809371541,0.2212720470336718,0.0,0.0,0.0
2028,pso,static_live,49,222.16305844075464,3337.406466845099,21.334564200020395,222.16305844075464,3337.406466845099,140.8455978626826,True,21.334564200020395,0.0,0,0,0,0,254,1991,0.0,3337.406466845099,222.16305844075464,0.1275740833751883,0.0,0.0,0.0
2029,aco,adaptive,45,162.81401500174945,2994.023190715688,634.9117691998836,162.81401500174945,2994.023190715688,149.945832737842,True,31.84011709992774,0.0,7,5,8,2,190,1466,603.0716520999558,2994.023190715688,162.81401500174945,0.1296043656207367,-0.2070262769382836,1.5581463410146272,-0.2070262769382836
2029,aco,static_frozen,47,165.39104958929067,3143.5702436979223,31.84011709992774,165.39104958929067,3143.5702436979223,144.75123858847596,True,31.84011709992774,0.0,0,0,0,0,244,1517,0.0,3143.5702436979223,165.39104958929067,0.1608437705998681,0.0,0.0,0.0
2029,aco,static_live,47,162.4776435853776,3142.9006523092867,31.84011709992774,162.4776435853776,3142.9006523092867,146.25261069198953,True,31.84011709992774,0.0,0,0,0,0,199,1486,0.0,3142.9006523092867,162.4776435853776,0.1339165545087483,0.0,0.0,0.0
2029,ga,adaptive,39,182.92216324773352,2915.527863282182,2479.343915600213,182.92216324773352,2915.527863282182,146.8313243125856,True,25.74775079998653,0.0,6,2,7,1,153,1866,2453.5961648002267,2915.527863282182,182.92216324773352,0.0819935691318328,-3.799517929183162,0.5109261821992029,-3.799517929183162
2029,ga,static_frozen,45,183.8615600972704,3225.6229301962617,25.74775079998653,183.8615600972704,3225.6229301962617,141.89960608137542,True,25.74775079998653,0.0,0,0,0,0,295,1897,0.0,3225.6229301962617,183.8615600972704,0.1555086979441223,0.0,0.0,0.0
2029,ga,static_live,46,176.2264092329711,3398.457291016984,25.74775079998653,176.2264092329711,3398.457291016984,145.70986450512908,True,25.74775079998653,0.0,0,0,0,0,213,1929,0.0,3398.457291016984,176.2264092329711,0.1104199066874028,0.0,0.0,0.0
2029,nn,adaptive,40,185.2498323998868,2967.263973108899,53.76266050012782,185.2498323998868,2967.263973108899,147.65480208265288,True,10.21008449990768,0.0,32,3,7,3,187,2046,43.55257600022014,2967.263973108899,185.2498323998868,0.0913978494623656,8.87058289572364,15.34646799037967,8.87058289572364
2029,nn,static_frozen,41,218.8329630225403,3016.914713696749,10.21008449990768,218.8329630225403,3016.914713696749,139.22105388423975,True,10.21008449990768,0.0,0,0,0,0,327,2178,0.0,3016.914713696749,218.8329630225403,0.1501377410468319,0.0,0.0,0.0
2029,nn,static_live,42,203.2821434465136,3075.0098502001047,10.21008449990768,203.2821434465136,3075.0098502001047,147.2413416175915,True,10.21008449990768,0.0,0,0,0,0,189,2227,0.0,3075.0098502001047,203.2821434465136,0.0848675348001796,0.0,0.0,0.0
2029,proposed,adaptive,45,167.93941268076958,2871.044544597224,1716.2659316998906,167.93941268076958,2871.044544597224,147.9375214793428,True,1139.5955789000727,0.0,7,4,8,2,205,1522,576.6703527998179,2871.044544597224,167.93941268076958,0.1346911957950065,-0.1376202378698543,3.4307510641878154,-0.1376202378698543
2029,proposed,static_frozen,45,173.90568377765456,2813.2827309811737,1139.5955789000727,173.90568377765456,2813.2827309811737,147.9375214793428,True,1139.5955789000727,0.0,0,0,0,0,242,1517,0.0,2813.2827309811737,173.90568377765456,0.1595253790375741,0.0,0.0,0.0
2029,proposed,static_live,45,167.70861169043295,2812.7267567922377,1139.5955789000727,167.70861169043295,2812.7267567922377,147.9375214793428,True,1139.5955789000727,0.0,0,0,0,0,205,1544,0.0,2812.7267567922377,167.70861169043295,0.1327720207253886,0.0,0.0,0.0
2029,pso,adaptive,49,159.9726925296431,3513.635315817206,1813.6455250999425,159.9726925296431,3513.635315817206,153.2663928314089,True,21.334564200020395,0.0,62,15,9,4,173,1717,1792.310960899922,3513.635315817206,159.9726925296431,0.1007571345369831,18.3862444800767,22.57332279334933,18.3862444800767
2029,pso,static_frozen,40,206.61185304733965,2799.218087764899,21.334564200020395,206.61185304733965,2799.218087764899,145.4712380088594,True,21.334564200020395,0.0,0,0,0,0,264,1871,0.0,2799.218087764899,206.61185304733965,0.1411010154997327,0.0,0.0,0.0
2029,pso,static_live,40,196.0119241058464,2763.44045184278,21.334564200020395,196.0119241058464,2763.44045184278,149.5464988624084,True,21.334564200020395,0.0,0,0,0,0,152,1964,0.0,2763.44045184278,196.0119241058464,0.0773930753564154,0.0,0.0,0.0
2030,aco,adaptive,48,173.94145021138863,3332.380788184789,663.8039683001116,173.94145021138863,3332.380788184789,136.66702680346515,True,31.84011709992774,0.0,5,5,9,2,182,1497,631.9638512001839,3332.380788184789,173.94145021138863,0.1215764863059452,-1.923066961448539,-0.0830307800994061,-1.923066961448539
2030,aco,static_frozen,47,173.7971450860332,3143.9184424767377,31.84011709992774,173.7971450860332,3143.9184424767377,129.61661995493748,True,31.84011709992774,0.0,0,0,0,0,230,1517,0.0,3143.9184424767377,173.7971450860332,0.1516150296638101,0.0,0.0,0.0
2030,aco,static_live,47,170.65955273616362,3143.1450077954787,31.84011709992774,170.65955273616362,3143.1450077954787,132.1419433190921,True,31.84011709992774,0.0,0,0,0,0,188,1495,0.0,3143.1450077954787,170.65955273616362,0.125752508361204,0.0,0.0,0.0
2030,ga,adaptive,41,189.9754483722191,2868.842077955973,2510.8104383001337,189.9754483722191,2868.842077955973,145.80238472621954,True,25.74775079998653,0.0,19,5,7,3,165,2088,2485.062687500147,2868.842077955973,189.9754483722191,0.0790229885057471,-4.320986981830681,-2.4191838016132685,-4.320986981830681
2030,ga,static_frozen,44,185.4881491149187,3150.4103709267906,25.74775079998653,185.4881491149187,3150.4103709267906,146.34969956943988,True,25.74775079998653,0.0,0,0,0,0,247,1897,0.0,3150.4103709267906,185.4881491149187,0.1302055877701634,0.0,0.0,0.0
2030,ga,static_live,43,182.1066439922646,3123.4394655696965,25.74775079998653,182.1066439922646,3123.4394655696965,147.74188175333884,True,25.74775079998653,0.0,0,0,0,0,209,1870,0.0,3123.4394655696965,182.1066439922646,0.1117647058823529,0.0,0.0,0.0
2030,nn,adaptive,43,219.23463818799056,3135.781080893326,62.49902869982179,219.23463818799056,3135.781080893326,132.5221267766176,True,10.21008449990768,0.0,25,2,8,1,191,1997,52.28894419991411,3135.781080893326,219.23463818799056,0.0956434651977966,2.545932786504433,5.207431822100948,2.545932786504433
2030,nn,static_frozen,43,231.2782978688252,3150.3281438591125,10.21008449990768,231.2782978688252,3150.3281438591125,129.72928208789764,True,10.21008449990768,0.0,0,0,0,0,253,2178,0.0,3150.3281438591125,231.2782978688252,0.1161616161616161,0.0,0.0,0.0
2030,nn,static_live,43,224.96202001267596,3104.351077311569,10.21008449990768,224.96202001267596,3104.351077311569,132.5221267766176,True,10.21008449990768,0.0,0,0,0,0,186,2209,0.0,3104.351077311569,224.96202001267596,0.0842009959257582,0.0,0.0,0.0
2030,proposed,adaptive,49,154.54373802086798,3256.9727664363872,1663.2407423002878,154.54373802086798,3256.9727664363872,133.79001509042212,True,1139.5955789000727,0.0,17,4,9,2,185,1707,523.6451634002151,3256.9727664363872,154.54373802086798,0.1083772700644405,-1.2107249399061182,2.4451618341484247,-1.2107249399061182
2030,proposed,static_frozen,50,158.4172973134663,3099.7223714939805,1139.5955789000727,158.4172973134663,3099.7223714939805,131.75311257901996,True,1139.5955789000727,0.0,0,0,0,0,238,1517,0.0,3099.7223714939805,158.4172973134663,0.1568885959129861,0.0,0.0,0.0
2030,proposed,static_live,49,152.6950213158026,3059.550171472765,1139.5955789000727,152.6950213158026,3059.550171472765,133.79001509042212,True,1139.5955789000727,0.0,0,0,0,0,175,1557,0.0,3059.550171472765,152.6950213158026,0.1123956326268465,0.0,0.0,0.0
2030,pso,adaptive,48,191.4691150285777,3422.6612046699897,2060.556781899766,191.4691150285777,3422.6612046699897,139.45245451001617,True,21.334564200020395,0.0,56,10,9,4,158,1918,2039.2222176997457,3422.6612046699897,191.4691150285777,0.0823774765380604,5.97435872579892,7.030177660944556,5.97435872579892
2030,pso,static_frozen,44,205.9475969850745,3035.3778195677337,21.334564200020395,205.9475969850745,3035.3778195677337,139.81058940830465,True,21.334564200020395,0.0,0,0,0,0,232,1871,0.0,3035.3778195677337,205.9475969850745,0.1239978621058257,0.0,0.0,0.0
2030,pso,static_live,43,203.635000446536,2951.124665687308,21.334564200020395,203.635000446536,2951.124665687308,142.12635671381176,True,21.334564200020395,0.0,0,0,0,0,159,1933,0.0,2951.124665687308,203.635000446536,0.082255561303673,0.0,0.0,0.0
2031,aco,adaptive,60,154.23703447679264,3861.036868527487,703.5519973000046,154.23703447679264,3861.036868527487,153.24348396465084,True,31.84011709992774,0.0,32,12,11,7,169,1762,671.7118802000768,3861.036868527487,154.23703447679264,0.0959137343927355,10.072186962903048,16.561292010998752,10.072186962903048
2031,aco,static_frozen,50,184.85069842778955,3343.3578683116853,31.84011709992774,184.85069842778955,3343.3578683116853,133.29223499183806,True,31.84011709992774,0.0,0,0,0,0,349,1517,0.0,3343.3578683116853,184.85069842778955,0.2300593276203032,0.0,0.0,0.0
2031,aco,static_live,51,171.51204868416727,3393.814085238975,31.84011709992774,171.51204868416727,3393.814085238975,141.75819375311613,True,31.84011709992774,0.0,0,0,0,0,216,1480,0.0,3393.814085238975,171.51204868416727,0.1459459459459459,0.0,0.0,0.0
2031,ga,adaptive,39,197.07327066018283,2594.579794926969,2551.1251604999416,197.07327066018283,2594.579794926969,142.26134373140988,True,25.74775079998653,0.0,12,3,7,2,204,1880,2525.377409699955,2594.579794926969,197.07327066018283,0.1085106382978723,-3.372516103829464,6.269743307140176,-3.372516103829464
2031,ga,static_frozen,48,210.25576757563223,3394.3160249854013,25.74775079998653,210.25576757563223,3394.3160249854013,130.81925281859844,True,25.74775079998653,0.0,0,0,0,0,310,1897,0.0,3394.3160249854013,210.25576757563223,0.1634159198734844,0.0,0.0,0.0
2031,ga,static_live,50,190.64377852836475,3559.743731723873,25.74775079998653,190.64377852836475,3559.743731723873,137.39093111667776,True,25.74775079998653,0.0,0,0,0,0,225,1874,0.0,3559.743731723873,190.64377852836475,0.1200640341515475,0.0,0.0,0.0
2031,nn,adaptive,43,198.58608607728752,3166.1683684634745,64.50716419983655,198.58608607728752,3166.1683684634745,139.216546188604,True,10.21008449990768,0.0,29,3,8,3,186,1905,54.29707969992887,3166.1683684634745,198.58608607728752,0.0976377952755905,12.2568505864341,26.79626419072209,12.2568505864341
2031,nn,static_frozen,43,271.2786224389911,3117.56852226056,10.21008449990768,271.2786224389911,3117.56852226056,118.66083880706692,True,10.21008449990768,0.0,0,0,0,0,518,2178,0.0,3117.56852226056,271.2786224389911,0.2378328741965105,0.0,0.0,0.0
2031,nn,static_live,44,226.32659917559815,3242.5903649014435,10.21008449990768,226.32659917559815,3242.5903649014435,136.4935719969792,True,10.21008449990768,0.0,0,0,0,0,225,2011,0.0,3242.5903649014435,226.32659917559815,0.1118846345101939,0.0,0.0,0.0
2031,proposed,adaptive,45,170.41337630910186,2795.686042942327,1714.588162199943,170.41337630910186,2795.686042942327,143.35247646385042,True,1139.5955789000727,0.0,15,3,8,2,161,1419,574.9925832998706,2795.686042942327,170.41337630910186,0.113460183227625,3.937788899393877,13.567308884517116,3.937788899393877
2031,proposed,static_frozen,45,197.1631035778028,2795.686042942327,1139.5955789000727,197.1631035778028,2795.686042942327,126.14834494385477,True,1139.5955789000727,0.0,0,0,0,0,272,1517,0.0,2795.686042942327,197.1631035778028,0.1793012524719841,0.0,0.0,0.0
2031,proposed,static_live,46,177.39897339092855,2895.956625398488,1139.5955789000727,177.39897339092855,2895.956625398488,139.01155448285863,True,1139.5955789000727,0.0,0,0,0,0,194,1481,0.0,2895.956625398488,177.39897339092855,0.1309925725860904,0.0,0.0,0.0
2031,pso,adaptive,44,196.542320831217,3205.7414844601963,1911.7068852998784,196.542320831217,3205.7414844601963,143.16882022750474,True,21.334564200020395,0.0,75,14,8,3,189,1719,1890.3723210998576,3205.7414844601963,196.542320831217,0.1099476439790576,6.316958007784492,20.376570902333476,6.316958007784492
2031,pso,static_frozen,40,246.83980966222532,2775.827198609305,21.334564200020395,246.83980966222532,2775.827198609305,118.90715805956596,True,21.334564200020395,0.0,0,0,0,0,370,1871,0.0,2775.827198609305,246.83980966222532,0.1977552111170497,0.0,0.0,0.0
2031,pso,static_live,44,209.7949817295093,3009.924242859037,21.334564200020395,209.7949817295093,3009.924242859037,138.83523233514504,True,21.334564200020395,0.0,0,0,0,0,227,1877,0.0,3009.924242859037,209.7949817295093,0.1209376664890783,0.0,0.0,0.0
2032,aco,adaptive,45,156.79983327692182,3238.6112360911834,654.5348759999033,156.79983327692182,3238.6112360911834,148.77636790339488,True,31.84011709992774,0.0,7,4,8,1,117,1634,622.6947588999756,3238.6112360911834,156.79983327692182,0.0716034271725826,2.2544626115397057,8.174823529349487,2.2544626115397057
2032,aco,static_frozen,47,170.75908732616347,3157.502558947361,31.84011709992774,170.75908732616347,3157.502558947361,135.20492271109904,True,31.84011709992774,0.0,0,0,0,0,152,1517,0.0,3157.502558947361,170.75908732616347,0.1001977587343441,0.0,0.0,0.0
2032,aco,static_live,48,160.41636013904957,3194.2415960964704,31.84011709992774,160.41636013904957,3194.2415960964704,142.97133496297002,True,31.84011709992774,0.0,0,0,0,0,123,1549,0.0,3194.2415960964704,160.41636013904957,0.0794060684312459,0.0,0.0,0.0
2032,ga,adaptive,39,171.1129953558103,2885.0036696613743,2669.1488398002693,171.1129953558103,2885.0036696613743,148.35411161751426,True,25.74775079998653,0.0,9,5,7,2,124,1932,2643.401089000283,2885.0036696613743,171.1129953558103,0.0641821946169772,-0.3305214919285852,5.175239808705859,-0.3305214919285852
2032,ga,static_frozen,42,180.451809222208,3061.960214935573,25.74775079998653,180.451809222208,3061.960214935573,138.66987793092497,True,25.74775079998653,0.0,0,0,0,0,178,1897,0.0,3061.960214935573,180.451809222208,0.0938323668950975,0.0,0.0,0.0
2032,ga,static_live,42,170.54929328716392,3061.960214935573,25.74775079998653,170.54929328716392,3061.960214935573,145.74728284215834,True,25.74775079998653,0.0,0,0,0,0,146,1932,0.0,3061.960214935573,170.54929328716392,0.0755693581780538,0.0,0.0,0.0
2032,nn,adaptive,43,207.14715843766743,3080.946538640946,62.10928609967232,207.14715843766743,3080.946538640946,149.38282033598824,True,10.21008449990768,0.0,38,8,8,3,137,2261,51.89920159976464,3080.946538640946,207.14715843766743,0.0605926581158779,0.1096666786453872,8.868632700586309,0.1096666786453872
