traffic_seed,method,policy,epoch,elapsed_s,elapsed_min,replan_epoch,traffic_state,traffic_change,center_bins,affected_edges,peak_tt_multiplier,speed_multiplier,recovery_progress,network_speed_kmh,sim_hour,remaining_bins_before,served_bins_epoch,remaining_bins_after,epoch_energy_kwh,epoch_energy_per_served_bin_kwh,cumulative_energy_kwh,epoch_operating_s,cumulative_operating_s,oracle_runtime_s,solver_runtime_s,planning_runtime_s,cumulative_planning_runtime_s,compute_wait_aux_energy_kwh,cumulative_compute_wait_aux_energy_kwh,latency_adjusted_energy_kwh,latency_adjusted_time_s,planned_remaining_energy_kwh,planned_remaining_makespan_s,incumbent_plan_energy_kwh,candidate_plan_energy_kwh,candidate_energy_improvement_kwh,replan_attempted,replan_accepted,acceptance_reason,candidate_next_choice_changes,candidate_reassigned_bins,next_choice_changes,reassigned_bins,traversed_edges,disrupted_edges_traversed,disrupted_edge_share,min_battery_kwh,max_payload_kg,returned_to_depot,converged,rounds,replanned,active_planning_vehicles,vehicles_still_requiring_first_service
2026,proposed,adaptive,20,1200.0,20.0,4,disrupted,holding,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.33333333333333,45,5,40,3.3954132878343604,0.679082657566872,78.84266364840185,60.0,1260.0,9.429093300015666,93.5747168000089,103.00381010002457,1558.4089424000122,0.0,0.0,78.84266364840185,1260.0,127.13795921892294,2033.7835878047288,127.33445907281912,127.13795921892294,0.1964998538961708,True,True,lower_residual_energy,2,3,2,3,42,2,0.0476190476190476,165.26745976178705,1072.0,False,True,17.0,True,9,0
2026,proposed,adaptive,21,1260.0,21.0,4,disrupted,disrupted,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.35,40,2,38,2.102019171176928,1.051009585588464,80.94468281957879,60.0,1320.0,0.0,0.0,0.0,1558.4089424000122,0.0,0.0,80.94468281957879,1320.0,123.51814926303727,2033.7835878047288,,,,False,False,not_attempted,0,0,0,0,23,0,0.0,164.97088490649512,1171.0,False,,,False,7,0
2026,proposed,adaptive,22,1320.0,22.0,4,disrupted,disrupted,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.366666666666667,38,4,34,1.449715902177383,0.3624289755443458,82.39439872175618,60.0,1380.0,0.0,0.0,0.0,1558.4089424000122,0.0,0.0,82.39439872175618,1380.0,121.2541571636268,1998.3794688115945,,,,False,False,not_attempted,0,0,0,0,34,0,0.0,164.64747217301854,1215.0,False,,,False,7,0
2026,proposed,adaptive,23,1380.0,23.0,4,disrupted,disrupted,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.383333333333333,34,2,32,1.5483289473206263,0.7741644736603133,83.9427276690768,60.0,1440.0,0.0,0.0,0.0,1558.4089424000122,0.0,0.0,83.9427276690768,1440.0,120.33768699843375,1867.2211669122328,,,,False,False,not_attempted,0,0,0,0,22,0,0.0,164.5541388396852,1215.0,False,,,False,7,0
2026,proposed,adaptive,24,1440.0,24.0,4,disrupted,disrupted,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.4,32,2,30,1.5275370533379573,0.7637685266689787,85.47026472241475,60.0,1500.0,0.0,0.0,0.0,1558.4089424000122,0.0,0.0,85.47026472241475,1500.0,118.6760144313998,1867.2211669122328,,,,False,False,not_attempted,0,0,0,0,23,0,0.0,164.3292465444402,1215.0,False,,,False,6,0
2026,proposed,adaptive,25,1500.0,25.0,5,disrupted,disrupted,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.416666666666668,30,3,27,2.0173056897357906,0.6724352299119302,87.48757041215055,60.0,1560.0,5.719996988773346e-05,32.80097080010455,32.80102800007444,1591.2099704000866,0.0,0.0,87.48757041215055,1560.0,117.17958705571628,1722.1491007904349,117.17958705571628,123.41217751960497,-6.232590463888684,True,False,incumbent_not_worse,3,15,0,0,53,0,0.0,164.23591321110686,1215.0,False,True,18.0,True,6,0
2026,proposed,adaptive,26,1560.0,26.0,5,disrupted,disrupted,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.433333333333334,27,2,25,1.4486377620371995,0.7243188810185998,88.93620817418774,60.0,1620.0,0.0,0.0,0.0,1591.2099704000866,0.0,0.0,88.93620817418774,1620.0,115.30014624908604,1722.1491007904349,,,,False,False,not_attempted,0,0,0,0,46,0,0.0,163.8497470841121,1373.0,False,,,False,6,0
2026,proposed,adaptive,27,1620.0,27.0,5,disrupted,disrupted,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.45,25,1,24,5.395867988951949,5.395867988951949,94.33207616313967,60.0,1680.0,0.0,0.0,0.0,1591.2099704000866,0.0,0.0,94.33207616313967,1680.0,113.8865937240238,1712.2320774455588,,,,False,False,not_attempted,0,0,0,0,35,2,0.0571428571428571,160.3454170892397,1373.0,False,,,False,6,0
2026,proposed,adaptive,28,1680.0,28.0,5,disrupted,disrupted,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.466666666666665,24,2,22,2.502640696891878,1.251320348445939,96.83471686003156,60.0,1740.0,0.0,0.0,0.0,1591.2099704000866,0.0,0.0,96.83471686003156,1740.0,108.34368287553136,1650.980193003788,,,,False,False,not_attempted,0,0,0,0,22,3,0.1363636363636363,158.72566331508537,1419.0,False,,,False,6,0
2026,proposed,adaptive,29,1740.0,29.0,5,disrupted,disrupted,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.48333333333333,22,2,20,0.8098258036012558,0.4049129018006279,97.64454266363282,60.0,1800.0,0.0,0.0,0.0,1591.2099704000866,0.0,0.0,97.64454266363282,1800.0,105.63383544919265,1510.8958783987955,,,,False,False,not_attempted,0,0,0,0,12,0,0.0,158.63232998175204,1419.0,False,,,False,5,0
