method,policy,epoch,elapsed_min,n,cumulative_energy_kwh_mean,cumulative_energy_kwh_std,cumulative_energy_kwh_min,cumulative_energy_kwh_max,cumulative_operating_s_mean,cumulative_operating_s_std,cumulative_operating_s_min,cumulative_operating_s_max,cumulative_planning_runtime_s_mean,cumulative_planning_runtime_s_std,cumulative_planning_runtime_s_min,cumulative_planning_runtime_s_max,latency_adjusted_energy_kwh_mean,latency_adjusted_energy_kwh_std,latency_adjusted_energy_kwh_min,latency_adjusted_energy_kwh_max
aco,adaptive,52,52.0,10,148.78261910177372,14.890202702069757,131.1967876595747,173.94145021138863,3215.610434529691,111.45966601907728,2994.023190715688,3410.4975616848183,681.9759328798857,30.542803858657646,634.9117691998836,724.1269857996376,148.78261910177372,14.890202702069757,131.1967876595747,173.94145021138863
aco,adaptive,53,53.0,10,148.8610157428014,14.819863007317059,131.29012099290804,173.94145021138863,3245.610434529691,105.11530897275715,2994.023190715688,3410.4975616848183,681.9759328798857,30.542803858657646,634.9117691998836,724.1269857996376,148.8610157428014,14.819863007317059,131.29012099290804,173.94145021138863
aco,adaptive,54,54.0,10,153.10514536737054,12.177608171065144,137.71257804152071,173.94145021138863,3371.3428925152775,239.99137704192248,2994.023190715688,3779.083640274505,681.9759328798857,30.542803858657646,634.9117691998836,724.1269857996376,153.10514536737054,12.177608171065144,137.71257804152071,173.94145021138863
aco,adaptive,55,55.0,10,153.16608635566914,12.097356881173878,137.80591137485405,173.94145021138863,3389.3428925152775,235.75865912807348,2994.023190715688,3779.083640274505,685.3268779298872,34.13098891091739,634.9117691998836,735.0743409997085,153.16608635566914,12.097356881173878,137.80591137485405,173.94145021138863
aco,adaptive,56,56.0,10,153.2334942030538,12.005589538582507,138.28919234163487,173.94145021138863,3407.3428925152775,235.04984503984684,2994.023190715688,3779.083640274505,685.3268779298872,34.13098891091739,634.9117691998836,735.0743409997085,153.2334942030538,12.005589538582507,138.28919234163487,173.94145021138863
aco,adaptive,57,57.0,10,153.29422452901497,11.929001585326787,138.3825256749682,173.94145021138863,3425.3428925152775,237.89643535085796,2994.023190715688,3779.083640274505,685.3268779298872,34.13098891091739,634.9117691998836,735.0743409997085,153.29422452901497,11.929001585326787,138.3825256749682,173.94145021138863
aco,adaptive,58,58.0,10,153.3450216832477,11.861770106374271,138.581365569025,173.94145021138863,3443.3428925152775,244.17411462322093,2994.023190715688,3779.083640274505,685.3268779298872,34.13098891091739,634.9117691998836,735.0743409997085,153.3450216832477,11.861770106374271,138.581365569025,173.94145021138863
aco,adaptive,59,59.0,10,153.48252344461244,11.678994279686194,139.43996633647964,173.94145021138863,3461.3428925152775,253.62823689688565,2994.023190715688,3779.083640274505,685.3268779298872,34.13098891091739,634.9117691998836,735.0743409997085,153.48252344461244,11.678994279686194,139.43996633647964,173.94145021138863
aco,adaptive,60,60.0,10,155.15009242388788,10.311369810250284,139.94850392611644,173.94145021138863,3499.446579368026,287.79503127627993,2994.023190715688,3861.036868527487,686.4382898098789,35.74399740720388,634.9117691998836,740.5064095996786,155.15009242388788,10.311369810250284,139.94850392611644,173.94145021138863
aco,adaptive,61,61.0,10,155.16922711385595,10.282451461928916,140.04183725944978,173.94145021138863,3511.446579368026,296.2218840286803,2994.023190715688,3861.036868527487,686.4382898098789,35.74399740720388,634.9117691998836,740.5064095996786,155.16922711385595,10.282451461928916,140.04183725944978,173.94145021138863
