,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
10,1341.475685,570.951618,1531.156069,1174.716179,916.612166,1230.491273,1039.83123,1454.535148,2188.930641,159.3537992,0,1020.001288,399.4281109,2750.605935,2390.462369,2029.830823,2179.713159,2533.703762,2465.838546,1692.746762,2609.961001,412.356254,1533.858616,1234.201748,1292.093994,1484.836221,945.5291165,1091.267832,2298.783476,2621.1976,2109.973635,1552.823205,2919.94235,2682.73135,1619.900924,3082.772334,3559.813305,2742.657051,2771.147713,2920.325117,1829.933152,2048.122511,1995.158145,3910.339974,1993.542221,578.3677913,1814.253456,1956.439337,2139.124047,3359.813344,3730.281739,3537.460606,3655.518731,3317.920384,4129.373691,2199.473794,2861.325687,3521.9343,2062.183807,2116.792238,3274.777811,2719.927603,2827.813297,2881.03738,3607.932647,3804.563867,4433.538356,4584.08216,3788.36891,3725.875837,3573.185492,4161.045149,3844.728038,4135.047306,4305.09928,4562.878464,4966.781452,5092.023199,4703.044152,5110.925758,4441.860929,4366.856703,5767.595782,5930.502549
11,1452.241578,1287.634508,1641.921962,1583.701864,1498.808241,598.066127,342.891461,1323.529663,2263.234733,953.6001982,1020.001288,0,1419.429399,2824.910026,2464.76646,2059.164707,2117.414467,2608.007853,2285.216406,1060.321616,2429.338861,1206.602653,709.06142,2028.448147,2076.286558,2043.422939,1808.551014,1954.28973,2118.161335,2586.59734,1870.352754,1232.696255,2994.246442,2697.806132,859.2758449,3157.076425,3655.905437,2562.03491,2708.849021,2935.399899,809.9318634,2443.942932,981.7375932,4006.432107,2389.362642,1598.369079,2139.243071,1636.312386,2534.944467,3422.059018,3804.585831,3599.70628,3729.822822,3345.768347,4225.465823,1689.563354,3257.146108,3341.31216,1613.02356,1796.665287,3094.15567,3115.748023,3115.768505,2033.394397,3427.310506,3623.941727,4495.784031,4646.327834,3803.443692,3667.49517,3514.804825,4223.290823,3786.347371,4202.300058,4124.477139,4382.256323,4786.159312,5154.268873,4718.118934,5126.00054,4396.882406,4330.022844,5782.670564,5945.577331
12,1740.903796,970.3797289,1930.58418,1574.14429,1316.040277,1629.919384,1439.259341,1853.963259,2588.358752,558.7819101,399.4281109,1419.429399,0,3150.034046,2789.890479,2429.258934,2579.14127,2933.131873,2865.266657,2092.174873,3009.389112,811.784365,1344.902997,1633.629859,892.6658826,1085.40811,932.6099708,1078.348687,2698.211587,3020.625711,2509.401746,1153.395094,3319.370461,3082.159461,1220.472813,3482.200445,3814.778263,3142.085162,3170.575824,3319.753227,1783.55877,1648.6944,1765.951105,4165.304933,1594.11411,407.3924083,1414.825345,1557.011226,1739.695936,3759.241455,4129.70985,3936.888717,4054.946842,3717.348495,4384.338649,1800.045683,2461.897577,3921.362411,1662.755696,1717.364127,3674.205922,2320.499492,2428.385186,2481.609269,4007.360758,4203.991978,4832.966467,4983.510271,4187.797021,4125.303948,3972.613603,4560.47326,4244.156149,4534.475417,4704.527391,4962.306575,5366.209563,5491.45131,5102.472263,5510.353869,4841.28904,4766.284814,6167.023893,6329.93066
13,1409.13025,2179.654317,1219.449866,1575.889756,1833.993769,2226.843899,2482.018565,1519.647182,561.6752937,2591.252136,2750.605935,2824.910026,3150.034046,0,419.0056735,1527.725035,1592.705374,216.9021731,2398.045827,2436.369438,2457.195547,2416.941437,3533.971446,2527.609895,4042.699929,4235.442156,2933.764303,2788.025588,2230.990756,1459.137709,2189.053899,4057.606281,432.3113104,1451.347167,3684.185871,333.734546,1119.829684,2674.864331,1612.851742,1688.940933,3634.84189,4798.728446,3806.64762,1470.356353,4744.148156,3251.949473,4564.859391,4461.222412,4889.729982,609.2074087,1117.519613,786.8546707,1152.097952,567.3144495,1689.39007,4514.473381,5611.931622,2367.042486,4437.933587,4621.575314,2484.608413,5470.533538,5578.419232,4858.304423,2964.099724,2972.768622,1682.932422,1833.476225,2161.062311,2563.815946,2411.125601,1410.439214,2682.668146,1384.441371,3150.207466,3407.98665,4134.986207,2341.417264,3068.427325,2949.906979,3293.203182,3204.796812,3253.290204,3341.592879
14,1048.986684,1819.510751,859.3062999,1215.746189,1473.850203,1866.700333,2121.874999,1159.503616,201.5317272,2231.108569,2390.462369,2464.76646,2789.890479,419.0056735,0,1108.719361,1290.138443,205.3490786,1979.040153,2076.225871,2123.162608,2056.79787,3173.82788,2167.466329,3682.556362,3875.298589,2573.620737,2427.882021,1811.985082,1511.565259,1828.910333,3697.462715,529.4799819,1503.774717,3324.042305,692.3099655,1298.873784,2255.858657,1665.279293,1741.368484,3274.698323,4438.584879,3446.504053,1649.400454,4384.00459,2891.805906,4204.715824,4101.078846,4529.586415,1028.213082,1339.819371,1205.860344,1340.605332,950.1068052,1868.43417,4154.329814,5251.788056,2419.470037,4077.79002,4261.431747,2537.035964,5110.389971,5218.275665,4498.160857,3016.527274,3025.196172,2101.938095,2252.481899,2213.489861,2616.243496,2463.553151,1829.444887,2735.095697,1803.447044,3202.635016,3460.4142,4187.413757,2760.422938,3128.165103,3368.912653,3345.630732,3257.224362,3672.295878,3760.598552
15,688.3551379,1458.879205,498.674754,855.1146435,1113.218657,1461.09858,1716.273246,735.6350445,982.1194734,1870.477023,2029.830823,2059.164707,2429.258934,1527.725035,1108.719361,0,181.4190815,1314.06844,1456.973245,1654.91004,1356.661195,1696.166324,2768.226127,1806.834783,3321.924816,3514.667043,2263.796558,2409.535273,1195.134294,591.3667778,1407.594502,3291.860962,1638.199343,652.9005274,2918.440552,1694.39267,2282.312726,1733.791749,745.0808109,890.4942939,2869.096571,4077.953334,3040.9023,2632.839396,4023.373044,2531.17436,3844.084279,3695.477093,4168.954869,1941.923291,2448.538732,2119.570553,2448.707563,1795.854626,2851.873112,3748.728062,4891.15651,1499.271555,3672.188268,3855.829995,1522.859327,4749.758425,4857.644119,4092.559104,1961.991498,2104.997691,2966.678644,2949.717606,1758.538087,1696.045015,1543.35467,2694.185437,1814.897215,2678.743603,2282.436535,2540.215719,3267.215276,3449.283089,2673.213329,3081.094935,2425.432251,2337.02588,3737.764959,3900.671726
16,869.7742194,1608.761541,680.0938355,1036.533725,1294.637738,1519.34834,1774.523006,793.8848042,1163.538555,2020.35936,2179.713159,2117.414467,2579.14127,1592.705374,1290.138443,181.4190815,0,1495.487521,1335.277789,1713.1598,1191.155334,1846.048661,2826.475887,1988.253865,3471.807152,3664.54938,2445.215639,2590.954355,1013.715212,469.1828733,1465.844262,3350.110721,1819.618425,580.3916655,2976.690312,1754.774606,2463.731808,1612.096293,591.434554,817.9854319,2927.34633,4227.83567,3099.15206,2814.258477,4173.25538,2681.056697,3993.966615,3753.726853,4318.837206,1923.937532,2590.096047,2101.584794,2630.126644,1777.868867,3033.292194,3806.977821,5041.038846,1345.625298,3730.438027,3914.079754,1357.353465,4899.640762,5007.526455,4150.808864,1796.485637,1951.351434,2948.692886,2877.208744,1686.029225,1550.080704,1397.390359,2676.199678,1668.932904,2660.757844,2128.790278,2386.569462,3113.569019,3376.774227,2600.704467,3008.586073,2279.46794,2212.608377,3665.256097,3828.162864
17,1192.228077,1962.752144,1002.547693,1358.987583,1617.091596,2009.941726,2265.116392,1302.745009,344.7731206,2374.349963,2533.703762,2608.007853,2933.131873,216.9021731,205.3490786,1314.06844,1495.487521,0,2184.389232,2219.467264,2328.511687,2200.039264,3317.069273,2310.707722,3825.797755,4018.539983,2716.86213,2571.123415,2017.334161,1676.039882,1972.151726,3840.704108,477.9725713,1668.24934,3467.283698,550.6367191,1247.831434,2461.207736,1829.753915,1905.843107,3417.939717,4581.826273,3589.745446,1598.358103,4527.245983,3035.0473,4347.957218,4244.320239,4672.827809,826.1095818,1288.31196,1003.756844,1289.097921,784.2166226,1817.391819,4297.571208,5395.029449,2583.94466,4221.031414,4404.673141,2701.510586,5253.631365,5361.517058,4641.40225,3181.001897,3189.670795,1899.834595,2050.378398,2377.964484,2780.718119,2628.027774,1627.341387,2899.570319,1601.343544,3367.109639,3624.888823,4351.88838,2558.319437,3285.329498,3166.809152,3510.105355,3421.698985,3470.192378,3558.495052
18,1197.141878,1894.886929,1386.822262,1328.602164,1586.706177,1687.150279,1942.324945,1011.303399,1969.275287,2306.484747,2465.838546,2285.216406,2865.266657,2398.045827,1979.040153,1456.973245,1335.277789,2184.389232,0,1389.471314,144.1224549,2132.174048,2994.277826,2315.621523,3757.93254,3950.674767,2733.699924,2879.438639,385.0404525,1274.134411,485.0057549,3517.91266,2508.520135,1459.269278,3144.492251,2564.713462,3277.913938,276.8185043,1278.09535,1696.863044,3095.148269,4513.961057,3266.953999,3628.440607,4459.380768,2967.182084,4280.092002,3921.528792,4604.962593,2819.867555,3318.859524,2997.514817,3319.645485,2743.576885,3847.474323,3974.77976,5327.164234,1056.095754,3898.239966,4081.881693,808.9392647,5185.766149,5293.651843,4318.610802,1142.094101,1338.725321,3893.592568,3756.086356,2564.906838,1914.351827,1726.972849,3621.09936,1764.675053,3600.108595,1839.260734,2097.039917,2500.942906,4094.123548,3113.469671,3521.351277,2655.922345,2576.8795,4178.021301,4340.928068
19,1088.592505,1190.91074,1278.272889,1220.052791,1384.618162,462.2554892,717.4301552,919.274996,1874.694144,1533.392963,1692.746762,1060.321616,2092.174873,2436.369438,2076.225871,1654.91004,1713.1598,2219.467264,1389.471314,0,1533.593769,1428.19786,1769.383036,1925.873488,2984.840756,3103.744555,2063.272586,2209.011302,1222.416244,2182.342673,974.6076629,2293.017871,2605.705853,2293.551466,1919.597461,2762.650258,3267.364849,1666.289819,2304.594354,2531.145232,1870.25348,3504.264548,2042.059209,3617.891518,3449.684258,2263.205896,3199.564687,2696.634002,3595.266084,3017.804351,3416.045242,3195.451613,3341.282233,2941.51368,3836.925234,2749.884971,4317.467724,2445.567068,2673.345177,2856.986904,2198.410579,4176.06964,4176.090121,3093.716013,2531.565415,2728.196635,4091.529364,4242.073167,3399.189026,3263.240504,3110.550159,3819.036156,3154.146368,3798.045391,3228.732048,3486.511232,3890.41422,4750.014207,4313.864267,4721.745874,3992.62774,3925.768177,5378.415898,5541.322664
