epoch,elapsed_s,elapsed_min,traffic_state,traffic_change,center_bins,peak_tt_multiplier,speed_multiplier,recovery_progress,disruption_region_edges,disruption_region_length_km,disruption_region_speed_kmh,affected_edges,affected_length_km,network_speed_kmh_at_start_hour,speed_change_from_previous_pct
73,4380.0,73.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
74,4440.0,74.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
75,4500.0,75.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
76,4560.0,76.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
77,4620.0,77.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
78,4680.0,78.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
79,4740.0,79.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
80,4800.0,80.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
81,4860.0,81.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
82,4920.0,82.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
83,4980.0,83.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
84,5040.0,84.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
85,5100.0,85.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
86,5160.0,86.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
87,5220.0,87.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
88,5280.0,88.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
89,5340.0,89.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
90,5400.0,90.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
91,5460.0,91.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
92,5520.0,92.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
93,5580.0,93.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
94,5640.0,94.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
95,5700.0,95.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
