start_hour,run_id,method,n_bins,vehicles,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged
7,proposed_n84_k10_h07_s7,proposed,84,10,7,106.0050341075926,169.39949658924075,153.65781533526314,1693.9949658924074,14.349457300035285,1693.0839047000045,2940.8747647106165,84,13168.0,10,True,True,True,True,True,False,64.0,False
7,pso_n84_k10_h07_s7,pso,84,10,7,123.11883922074529,167.68811607792549,160.94577496832068,1676.8811607792547,12.204008499975316,19.988726300012782,2786.635612518023,84,13168.0,10,True,True,True,True,True,,,
8,aco_n84_k10_h08_s7,aco,84,10,7,129.26913066647768,167.07308693335224,153.47092178957217,1670.7308693335224,11.174288800044453,33.15511890000198,2505.378407550235,84,13168.0,10,True,True,True,True,True,,,
8,ga_n84_k10_h08_s7,ga,84,10,7,137.10053796558628,166.2899462034414,156.6525831556383,1662.8994620344138,11.174288800044453,25.13865649997024,3173.9526701708405,84,13168.0,10,True,True,True,True,True,,,
8,nn_n84_k10_h08_s7,nn,84,10,7,159.850489663433,164.0149510336567,151.59943751859768,1640.149510336567,11.174288800044453,0.364278299966827,2934.16995413361,84,13168.0,10,True,True,True,True,True,,,
8,proposed_n84_k10_h08_s7,proposed,84,10,7,120.78712040345724,167.92128795965428,157.2398286781228,1679.2128795965427,13.68889999995008,1347.883248499944,2747.1273883302624,84,13168.0,10,True,True,True,True,True,False,64.0,False
8,pso_n84_k10_h08_s7,pso,84,10,7,151.12699795836406,164.8873002041636,152.70284930724492,1648.873002041636,11.174288800044453,15.209969100018498,3220.2234501665434,84,13168.0,10,True,True,True,True,True,,,
9,aco_n84_k10_h09_s7,aco,84,10,7,139.5109317487668,166.0489068251233,143.61168861150384,1660.4890682512332,11.604455100023188,34.24262529995758,3411.985153042631,84,13168.0,10,True,True,True,True,True,,,
9,ga_n84_k10_h09_s7,ga,84,10,7,149.18605040021217,165.08139495997878,148.71218030021893,1650.8139495997875,11.604455100023188,25.673306000011507,3141.554824578801,84,13168.0,10,True,True,True,True,True,,,
9,nn_n84_k10_h09_s7,nn,84,10,7,164.2910661332142,163.5708933866786,152.70921811860254,1635.708933866786,11.604455100023188,0.3177148000104353,3082.2859040174294,84,13168.0,10,True,True,True,True,True,,,
9,proposed_n84_k10_h09_s7,proposed,84,10,7,134.68951584347877,166.53104841565212,152.51814976619647,1665.3104841565212,10.177960000000894,898.5108354999684,2885.7625472435666,84,13168.0,10,True,True,True,True,True,False,64.0,False
9,pso_n84_k10_h09_s7,pso,84,10,7,158.39808532195673,164.1601914678043,152.82775995377511,1641.6019146780432,11.604455100023188,17.408762500039302,3213.134471526831,84,13168.0,10,True,True,True,True,True,,,
10,aco_n84_k10_h10_s7,aco,84,10,7,161.80601377173042,163.81939862282695,149.84159267779785,1638.1939862282695,11.3705155000207,34.098440400033724,3611.051140985701,84,13168.0,10,True,True,True,True,True,,,
10,ga_n84_k10_h10_s7,ga,84,10,7,166.57786230309637,163.34221376969035,150.81348226314165,1633.4221376969035,11.3705155000207,25.343240200018045,2688.83584117649,84,13168.0,10,True,True,True,True,True,,,
10,nn_n84_k10_h10_s7,nn,84,10,7,189.1440255412604,161.08559744587396,149.95372626886933,1610.8559744587396,11.3705155000207,0.3047218999709002,3016.1957723588694,84,13168.0,10,True,True,True,True,True,,,
10,proposed_n84_k10_h10_s7,proposed,84,10,7,156.36884993325666,164.36311500667435,152.8236324932003,1643.6311500667434,13.31215830007568,1429.6162048999686,3114.5927663326725,84,13168.0,10,True,True,True,True,True,False,64.0,False
10,pso_n84_k10_h10_s7,pso,84,10,7,184.1823253506232,161.58176746493768,150.81348226314165,1615.8176746493768,11.3705155000207,18.78609579999465,2781.7140753397643,84,13168.0,10,True,True,True,True,True,,,
11,aco_n84_k10_h11_s7,aco,84,10,7,172.22520562321756,162.77747943767824,150.16263203148654,1627.7747943767824,11.311938899976669,33.54317900002934,2809.0542237216923,84,13168.0,10,True,True,True,True,True,,,
11,ga_n84_k10_h11_s7,ga,84,10,7,188.5221346190773,161.14778653809225,148.43964693700903,1611.4778653809226,11.311938899976669,24.500743100012187,2806.7665595966096,84,13168.0,10,True,True,True,True,True,,,
11,nn_n84_k10_h11_s7,nn,84,10,7,211.34676048403443,158.86532395159657,141.73860231570643,1588.6532395159657,11.311938899976669,0.2831783999572508,2923.242795305274,84,13168.0,10,True,True,True,True,True,,,
11,proposed_n84_k10_h11_s7,proposed,84,10,7,164.67866901320875,163.53213309867914,151.44637932944687,1635.3213309867913,12.435933399945498,1375.7250003000954,3261.593200727614,84,13168.0,10,True,True,True,True,True,False,64.0,False
11,pso_n84_k10_h11_s7,pso,84,10,7,203.61452982349496,159.63854701765052,142.22222064390365,1596.3854701765051,11.311938899976669,17.627593000011984,2891.352817598668,84,13168.0,10,True,True,True,True,True,,,
